N Insercio Bombolla Fusio
53800 5.42 17.39 0.04
53900 5.49 17.57 0.04
54000 5.52 17.66 0.04
54100 5.54 17.68 0.04
54200 5.54 17.66 0.04
54300 5.59 17.83 0.04
54400 5.58 17.91 0.04
54500 5.59 17.89 0.04
54600 5.64 17.98 0.04
54700 5.64 18.07 0.04
54800 5.69 18.21 0.04
54900 5.68 17.99 0.04
55000 5.71 18.11 0.04
55100 5.71 18.33 0.04
55200 5.77 18.43 0.04
55300 5.80 18.33 0.04
55400 5.76 18.51 0.04
55500 5.79 18.49 0.04
55600 5.83 18.69 0.04
55700 5.86 18.87 0.04
55800 5.86 18.80 0.04
55900 5.88 18.90 0.04
56000 5.91 18.78 0.04
56100 5.88 18.99 0.04
56200 5.93 19.06 0.04
56300 5.97 19.02 0.04
56400 5.98 19.17 0.05
56500 6.01 19.14 0.04
56600 6.09 19.43 0.04
56700 6.07 19.24 0.04
56800 6.09 19.86 0.04
56900 6.11 19.57 0.04
57000 6.08 19.56 0.04
57100 6.18 19.63 0.04
57200 6.17 19.65 0.04
57300 6.18 19.81 0.04
57400 6.23 19.76 0.05
57500 6.25 19.81 0.04
57600 6.25 20.01 0.04
57700 6.32 20.12 0.04
57800 6.35 20.14 0.05
57900 6.32 20.25 0.04
58000 6.36 20.33 0.04
58100 6.36 20.29 0.04
58200 6.35 20.26 0.04
58300 6.39 20.56 0.04
58400 6.45 20.60 0.05
58500 6.43 20.58 0.04
58600 6.48 20.59 0.04
58700 6.47 20.59 0.05
58800 6.53 20.66 0.05
58900 6.54 20.76 0.04
59000 6.57 20.92 0.05
59100 6.59 21.01 0.05
59200 6.59 21.09 0.05
59300 6.61 21.14 0.05
59400 6.66 21.33 0.05
59500 6.80 24.33 0.05
59600 6.82 21.77 0.05
59700 6.84 22.26 0.05
59800 6.90 22.04 0.05
59900 7.18 22.23 0.05
60000 7.00 22.65 0.05
60100 7.00 22.34 0.05
60200 7.13 22.51 0.06
60300 7.14 22.55 0.05
60400 7.28 22.98 0.06
60500 7.45 23.05 0.05
60600 7.41 22.96 0.05
60700 7.15 23.54 0.05
60800 7.28 23.14 0.05
60900 7.32 23.40 0.05
61000 7.34 23.95 0.05
61100 7.35 23.69 0.05
61200 7.38 23.67 0.05
61300 7.51 23.78 0.05
61400 7.40 23.77 0.05
61500 7.47 24.02 0.05
61600 7.46 23.93 0.05
61700 7.54 23.95 0.05
61800 7.50 24.25 0.05
61900 7.51 24.08 0.05
62000 7.56 24.28 0.05
62100 7.59 24.51 0.05
62200 7.70 24.65 0.05
62300 7.73 24.75 0.05
62400 7.72 24.58 0.05
62500 7.75 24.64 0.05
62600 7.71 24.69 0.05
62700 7.73 24.82 0.05
62800 7.83 25.12 0.05
62900 7.85 25.07 0.05
63000 7.84 25.33 0.05
63100 7.87 25.51 0.05
63200 8.21 25.37 0.05
63300 7.99 25.63 0.05
63400 7.94 25.47 0.05
63500 8.02 25.66 0.05
63600 7.97 25.46 0.05
63700 8.02 25.47 0.05
63800 8.04 25.85 0.06
63900 8.16 26.17 0.05
64000 8.09 26.10 0.05
64100 8.14 26.31 0.05
64200 8.10 25.92 0.05
64300 8.19 26.07 0.05
64400 8.14 26.52 0.06
64500 8.33 26.49 0.05
64600 8.33 26.82 0.05
64700 8.32 26.50 0.07
64800 8.15 26.40 0.05
64900 8.05 25.85 0.05
65000 8.12 26.23 0.05
65100 8.25 26.19 0.05
65200 8.20 26.54 0.05
65300 8.46 26.60 0.06
65400 8.42 26.99 0.05
65500 8.81 27.26 0.05
65600 8.47 27.22 0.05
65700 8.57 27.58 0.05
65800 8.51 27.46 0.06
65900 8.53 26.55 0.05
66000 8.41 27.22 0.05
66100 8.44 27.10 0.05
66200 8.43 27.11 0.05
66300 8.48 27.08 0.05
66400 8.45 27.02 0.05
66500 8.51 27.18 0.05
66600 8.61 27.07 0.05
66700 8.52 27.32 0.05
66800 8.59 27.45 0.05
66900 8.60 27.58 0.05
67000 8.63 27.65 0.05
67100 8.61 27.61 0.06
67200 8.80 27.83 0.05
67300 8.71 27.99 0.05
67400 8.66 27.89 0.05
67500 8.76 27.71 0.05
67600 8.73 28.11 0.05
67700 8.78 28.16 0.06
67800 8.77 28.23 0.06
67900 8.83 28.41 0.05
68000 8.85 28.25 0.06
68100 8.89 28.55 0.05
68200 8.95 28.40 0.05
68300 8.94 28.46 0.06
68400 9.00 28.67 0.06
68500 9.20 29.38 0.06
68600 9.33 29.26 0.06
68700 9.19 29.33 0.06
68800 9.06 29.57 0.06
68900 9.35 29.91 0.06
69000 9.15 30.13 0.06
69100 9.76 30.32 0.06
69200 9.43 29.86 0.06
69300 9.73 31.25 0.06
69400 9.30 29.64 0.06
69500 9.31 30.03 0.06
69600 9.56 31.20 0.06
69700 9.83 31.35 0.06
69800 9.71 31.06 0.06
